name,last_name,bank_account,balance,credit_score
Charlotte,Rodriguez,1249760221641717,60297.78,669
Olivia,Brown,1249760215754617,64219.24,597
Sophia,Thomas,1249760231367371,27375.3,656
Alexander,Martin,1249760268655334,14227.98,598
Sophia,Johnson,1249760278226449,74189.2,616
Noah,Martinez,1249760262234703,88021.17,710
Benjamin,Miller,1249760201296760,96112.26,783
Lucas,Garcia,1249760264829023,19039.39,611
Benjamin,Brown,1249760221268838,35009.27,642
Isabella,Martinez,1249760274133056,43842.02,638
Elijah,Martin,1249760298495962,38033.96,662
Emma,Taylor,1249760274119267,66895.8,727
Amelia,Gonzalez,1249760204341871,76398.76,636
Olivia,Thomas,1249760260744254,66239.87,778
Emma,Miller,1249760258661775,75612.18,796
Evelyn,Thomas,1249760226288644,16572.38,560
James,Jones,1249760280731863,51303.85,588
Mia,Gonzalez,1249760279639755,15244.66,576
Amelia,Smith,1249760203205753,31072.7,682
Emma,Wilson,1249760255502747,41861.12,780
Olivia,Moore,1249760238878693,48545.23,626
Isabella,Gonzalez,1249760210535917,44760.95,661
Alexander,Williams,1249760210765832,40698.47,617
Isabella,Martin,1249760294270913,49089.96,787
Olivia,Miller,1249760238376598,57499.37,600
Charlotte,Davis,1249760256997613,11608.64,800
Henry,Taylor,1249760265450685,41720.19,597
Lucas,Gonzalez,1249760271740273,57572.22,779
Noah,Gonzalez,1249760227787896,28587.56,647
Henry,Taylor,1249760287510679,24896.92,637
Alexander,Miller,1249760298594337,92754.93,780
Charlotte,Thomas,1249760257084513,94052.34,743
Harper,Jackson,1249760220389061,51469.42,691
Lucas,Moore,1249760257675226,89575.53,734
Abigail,Gonzalez,1249760248545383,57579.73,647
Abigail,Moore,1249760245995773,42341.33,716
Isabella,Rodriguez,1249760279836565,13543.48,704
Isabella,Davis,1249760286150308,64245.3,714
Isabella,Martin,1249760215598204,62833.68,746
James,Jackson,1249760277982799,93542.32,595
Harper,Davis,1249760208334726,39943.31,775
Benjamin,Rodriguez,1249760247751861,45913.88,689
Alexander,Johnson,1249760213891149,54404.36,778
Lucas,Jones,1249760246862321,41227.51,654
Ava,Moore,1249760227676336,74250.42,783
Abigail,Martinez,1249760291151005,56545.72,764
Alexander,Moore,1249760243665847,17067.08,580
Amelia,Thomas,1249760230048468,95578.97,600
Alexander,Lopez,1249760244197025,15153.03,702
Henry,Davis,1249760299640670,30385.65,712
